               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.044684,            0.021814,            0.012733,                   0,                   0,                   0,                   0,                   0,           0.0039297,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.036126,            0.020061,           0.0052745,                   0,                   0,                   0,                   0,                   0,           0.0039543,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.029905,            0.019046,            0.016724,                   0,                   0,                   0,                   0,                   0,           0.0039166,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.037153,             0.01894,           0.0073812,                   0,                   0,                   0,                   0,                   0,           0.0040682,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.034365,            0.021785,           0.0078417,                   0,                   0,                   0,                   0,                   0,           0.0040682,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.031618,             0.01874,           0.0051193,                   0,                   0,                   0,                   0,                   0,           0.0051249,                   0,            0.005512,            0.005512,            0.005512
                 138,               0.038,            0.024177,           0.0064594,                   0,                   0,                   0,                   0,                   0,           0.0058914,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.039353,             0.01974,           0.0089449,                   0,                   0,                   0,                   0,                   0,           0.0053955,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.032534,            0.019909,           0.0055335,                   0,                   0,                   0,                   0,                   0,           0.0053955,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.032859,            0.018964,           0.0044735,                   0,                   0,                   0,                   0,                   0,            0.005403,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.028618,            0.015544,           0.0054602,                   0,                   0,                   0,                   0,                   0,           0.0050694,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.047865,            0.018239,            0.015355,                   0,                   0,                   0,                   0,                   0,           0.0040375,                   0,            0.005314,            0.005314,            0.005314
